x,y,z
0.00007562,0.00009201,-0.00017608
1.00670099,-0.34000161,-0.03964401
-0.08755518,0.03068844,0.00289710
-1.04185426,0.37494683,0.03768121
-2.00813317,0.74941087,0.08310449
-3.11373258,1.17635226,0.12994510
-4.15521479,1.46103954,0.17209223
-5.30771971,1.50039136,0.22553912
-6.20282173,1.35594702,0.26604819
-7.15920115,1.04847717,0.31011456
-8.11443329,0.68129450,0.35131580
-9.04283905,0.25366354,0.39366797
-10.16448307,-0.29894313,0.44733727
-11.27783680,-0.84244496,0.50549042
-12.35133743,-1.36428511,0.56102288
-13.46760559,-1.91054845,0.60148031
-14.38754463,-2.40152454,0.66528136
-15.38684559,-3.15586901,0.70684576
-16.35121918,-3.91635036,0.75651217
-17.32124329,-4.67406702,0.80105376
-18.26842690,-5.38747501,0.83751279
-19.25954628,-6.12502050,0.87461782
-20.21872711,-6.81618834,0.91306698
-21.15981102,-7.46706772,0.95697308
-22.09122658,-8.08600330,1.00110662
-23.07418251,-8.66243172,1.05501270
-24.15537453,-9.18324661,1.10703540
-25.29480171,-9.67014313,1.17342436
-26.41267586,-10.12475872,1.22545910
-27.53795052,-10.56102848,1.29921222
-28.58771896,-10.94086361,1.34313667
-29.69676208,-11.37217617,1.41872883
-30.83358383,-11.87411594,1.48414338
-31.78990746,-12.30450153,1.55135190
-32.68855286,-12.77665043,1.57652795
-33.64606857,-13.25630665,1.67254865
-34.65463638,-13.76431465,1.76423633
-35.56238174,-14.20751286,1.82726860
-36.52118301,-14.65945625,1.89287329
-37.50352478,-15.11182499,1.96265101
-38.51310349,-15.57700825,2.01358533
-39.51750565,-16.00374603,2.08426833
-40.58626938,-16.43402290,2.15956450
-41.66130066,-16.86164284,2.23029590
-42.75381470,-17.18734169,2.28868294
-43.93287277,-17.32894325,2.34018540
-45.10220718,-17.39468765,2.38637447
-46.27734756,-17.41766930,2.42905235
-47.43365860,-17.41035080,2.46074843
-48.59818268,-17.38591194,2.51059246
-49.76504517,-17.33215714,2.52404070
-50.94676590,-17.22607231,2.55477500
-52.15451813,-17.05095863,2.58283854
-53.33857727,-16.87058067,2.59379840
-54.52571869,-16.66598320,2.62333918
-55.62924194,-16.45298576,2.69826961
-56.71378708,-16.21812057,2.75276685
-57.90456772,-15.95260620,2.73020458
-59.12647247,-15.65423393,2.68919039
-60.28090668,-15.34897518,2.71574378
-61.51733398,-15.04895592,2.72952652
-62.60597610,-14.85825253,2.76237798
-63.74993134,-14.78976917,2.78143740
-64.89126587,-14.88194180,2.78633475
-65.96775055,-15.13833618,2.80131149
-66.99481201,-15.59185028,2.84340978
-67.39865875,-15.87851143,2.85009623
-67.75358582,-16.30532837,2.82486320
-68.00941467,-16.80828857,2.69954515
-68.06767273,-17.40088844,2.84403872
-68.24485016,-18.51245499,3.03666568
-68.38243103,-19.49682045,3.17055941
-68.55024719,-20.51631165,3.27575874
-68.71595001,-21.50130081,3.39493704
-68.89279938,-22.61454201,3.50039363
-68.97708893,-23.12804985,3.54304028
-69.34398651,-23.60953903,3.61115718
-70.13654327,-24.44289398,3.75482941
-70.97016907,-25.26415253,3.95383525
-71.40776062,-25.98844528,4.08617592
-71.71545410,-27.09974289,4.23331976
-72.04390717,-28.15655136,4.38253164
-72.34181976,-29.11267281,4.53832483
-72.69788361,-30.31328392,4.72100830
-73.00537872,-31.29178047,4.88748264
-73.25650787,-32.28001022,5.00259733
-73.46691895,-33.47457504,5.17061758
-73.56119537,-34.51578903,5.31229973
-73.67704010,-35.57110596,5.42663002
-73.80028534,-36.67151260,5.55558872
-73.93449402,-37.76591492,5.67480278
-74.09600067,-38.86536026,5.79331636
-74.25554657,-39.86150742,5.90996218
-74.42911530,-40.86963272,5.96652317
-74.64443207,-42.03380966,6.03805685
-74.85639191,-43.25776291,6.10569811
-75.00183105,-44.48408890,6.17456627
-75.05797577,-45.50593185,6.19938993
-75.11962128,-46.55419922,6.21406507
-75.21424866,-47.61680222,6.25552940
-75.29410553,-48.65728760,6.29584885
-75.39692688,-49.72502518,6.32518148
-75.52365112,-50.95816803,6.37281942
-75.66387939,-52.16998672,6.42465353
-75.83483887,-53.28532791,6.44890022
-75.88616180,-54.38890457,6.48504925
-75.79870605,-55.50548935,6.49608564
-75.70553589,-56.55228043,6.52816439
-75.61851501,-57.61719131,6.51223183
-75.53036499,-58.66689301,6.50815868
-75.48210144,-59.69173431,6.49370670
-75.41584015,-60.72961426,6.48965740
-75.37665558,-61.84244156,6.45644760
-75.34246826,-62.93247223,6.43224955
-75.30554199,-64.01926422,6.43110895
